TITLE	
DATA TYPE	
ORIGIN	JASCO
OWNER	
DATE	22/03/14
TIME	13:42:00
SPECTROMETER/DATA SYSTEM	JASCO Corp., V-770, Rev. 1.00
RESOLUTION	
DELTAX	-0.5
XUNITS	NANOMETERS
YUNITS	ABSORBANCE
FIRSTX	1100
LASTX	350
NPOINTS	1501
FIRSTY	0.0506353
MAXY	0.267105
MINY	0.050465
XYDATA
1005.5	0.0554741
1005	0.0554934
1004.5	0.0555119
1004	0.0554816
1003.5	0.0554793
1003	0.0554779
1002.5	0.0554718
1002	0.0554693
1001.5	0.0554844
1001	0.0554953
1000.5	0.0555242
1000	0.0555895
999.5	0.0556412
999	0.0557042
998.5	0.0557792
998	0.055851
997.5	0.0559175
997	0.0559642
996.5	0.056007
996	0.056062
995.5	0.0561058
995	0.0561451
994.5	0.0561738
994	0.0561897
993.5	0.0562114
993	0.0562453
992.5	0.0562803
992	0.0562889
991.5	0.0563059
991	0.0563437
990.5	0.0563467
990	0.0563954
989.5	0.0564075
989	0.0564651
988.5	0.0565238
988	0.0565828
987.5	0.0566461
987	0.056702
986.5	0.0567591
986	0.0567682
985.5	0.0568417
985	0.0568486
984.5	0.0568659
984	0.0569152
983.5	0.0569486
983	0.0569771
982.5	0.0570278
982	0.0571029
981.5	0.0571259
981	0.0571362
980.5	0.0571564
980	0.0571744
979.5	0.0571968
979	0.0572242
978.5	0.0572618
978	0.0573292
977.5	0.0573607
977	0.0574468
976.5	0.0575116
976	0.0575159
975.5	0.0575818
975	0.0576565
974.5	0.0577052
974	0.0577328
973.5	0.0578271
973	0.0578751
972.5	0.0578856
972	0.0579718
971.5	0.0579724
971	0.057962
970.5	0.0579954
970	0.0579898
969.5	0.0579874
969	0.0580122
968.5	0.0580617
968	0.0580986
967.5	0.0581377
967	0.0581882
966.5	0.0582037
966	0.0582786
965.5	0.0583072
965	0.0583604
964.5	0.0584126
964	0.0584395
963.5	0.0585177
963	0.0585618
962.5	0.0586249
962	0.0586372
961.5	0.0586813
961	0.0587031
960.5	0.0587306
960	0.0587615
959.5	0.0587618
959	0.0587903
958.5	0.0588302
958	0.0589
957.5	0.0589526
957	0.0590259
956.5	0.0590596
956	0.0591268
955.5	0.0592061
955	0.0592596
954.5	0.0593168
954	0.0593504
953.5	0.0594118
953	0.0594397
952.5	0.059509
952	0.0595709
951.5	0.0595843
951	0.0596437
950.5	0.0596916
950	0.0597284
949.5	0.0597558
949	0.0597784
948.5	0.059845
948	0.0598798
947.5	0.0599559
947	0.0600165
946.5	0.0600575
946	0.0601246
945.5	0.0601803
945	0.0602556
944.5	0.0603125
944	0.0603723
943.5	0.0604193
943	0.0604616
